id	taxonID	scientificName	acceptedNameUsage	kingdom	phylum	class	order	family	taxonRank
93565	93565	Amaranthus retroflexus L.		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	SPECIES
93566	93566	Amaranthus spinosus L.		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	SPECIES
93567	93567	Amaranthus viridis L.		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	SPECIES
93568	93568	Amathina tricarinata (Linnaeus, 1767)		Animalia	Mollusca	Gastropoda		Amathinidae	SPECIES
93569	93569	Ambrosia polystachya DC.		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES
93570	93570	Ambrosia tenuifolia Spreng.		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES
93571	93571	Ammannia coccinea Rottb.		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Lythraceae	SPECIES
93572	93572	Amorpha fruticosa L.		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	SPECIES
93573	93573	Amphibalanus eburneus Gould, 1841		Animalia	Arthropoda	Maxillopoda	Sessilia	Balanidae	SPECIES
93574	93574	Amphibalanus improvisus Darwin, 1854		Animalia	Arthropoda	Maxillopoda	Sessilia	Balanidae	SPECIES
93575	93575	Amphiodia obtecta Mortensen, 1940		Animalia	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae	SPECIES
93576	93576	Amphiroa rigida J.V.Lamour.		Plantae	Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	SPECIES
93577	93577	Amphisorus hemprichii Ehrenberg, 1839		Chromista	Foraminifera	Tubothalamea	Miliolida	Soritidae	SPECIES
93578	93578	Anadara demiri (Piani, 1981)	Anadara transversa (Say, 1822)	Animalia	Mollusca	Bivalvia	Arcida	Arcidae	SPECIES
93579	93579	Anadara inaequivalvis (BruguiÃ¨re, 1789)		Animalia	Mollusca	Bivalvia	Arcida	Arcidae	SPECIES
93580	93580	Anadara inflata (Reeve, 1844)	Anadara broughtonii (Schrenck, 1867)	Animalia	Mollusca	Bivalvia	Arcida	Arcidae	SPECIES
93581	93581	Anadara kagoshimensis (Tokunaga, 1906)		Animalia	Mollusca	Bivalvia	Arcida	Arcidae	SPECIES
93582	93582	Anadara natalensis (Krauss, 1848)		Animalia	Mollusca	Bivalvia	Arcida	Arcidae	SPECIES
93583	93583	Anadara transversa (Say, 1822)		Animalia	Mollusca	Bivalvia	Arcida	Arcidae	SPECIES
93584	93584	Anguilla anguilla (Linnaeus, 1758)		Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	SPECIES
93585	93585	Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974	Anguillicoloides crassus (Kuwahara, Niimi & Itagaki, 1974) Moravec & Taraschewski, 1988	Animalia	Nematoda	Secernentea	Spirurida	Anguillicolidae	SPECIES
93586	93586	Anodonta woodiana (I.Lea, 1834)	Sinanodonta woodiana (I.Lea, 1834)	Animalia	Mollusca	Bivalvia	Unionida	Unionidae	SPECIES
93587	93587	Anoplodactylus californicus Hall, 1912		Animalia	Arthropoda	Pycnogonida	Pantopoda	Phoxichilidiidae	SPECIES
93588	93588	Anoplophora chinensis (Forster, 1771)		Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	SPECIES
93589	93589	Anoplophora glabripennis (Motschulsky, 1854)		Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	SPECIES
93590	93590	Anoplophora malasiaca (Thomson, 1865)		Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	SPECIES
93591	93591	Antigona lamellaris Schumacher, 1817		Animalia	Mollusca	Bivalvia	Venerida	Veneridae	SPECIES
93592	93592	Aphanius mento (Heckel, 1843)		Animalia	Chordata	Actinopterygii	Cyprinodontiformes	Cyprinodontidae	SPECIES
93593	93593	Apionsoma misakianum (Ikeda, 1904)		Animalia	Sipuncula	Phascolosomatidea	Phascolosomatiformes	Phascolosomatidae	SPECIES
93594	93594	Aplysia dactylomela Rang, 1828		Animalia	Mollusca	Gastropoda	Aplysiida	Aplysiidae	SPECIES
93595	93595	Aplysia parvula MÃ¶rch, 1863		Animalia	Mollusca	Gastropoda	Aplysiida	Aplysiidae	SPECIES
93596	93596	Apogon fasciatus (White, 1790)	Ostorhinchus fasciatus (White, 1790)	Animalia	Chordata	Actinopterygii	Perciformes	Apogonidae	SPECIES
93597	93597	Apogon pharaonis Bellotti, 1874	Apogonichthyoides pharaonis (Bellotti, 1874)	Animalia	Chordata	Actinopterygii	Perciformes	Apogonidae	SPECIES
93598	93598	Apogon queketti Gilchrist, 1903	Jaydia queketti (Gilchrist, 1903)	Animalia	Chordata	Actinopterygii	Perciformes	Apogonidae	SPECIES
93599	93599	Apogon smithi (Kotthaus, 1970)	Jaydia smithi Kotthaus, 1970	Animalia	Chordata	Actinopterygii	Perciformes	Apogonidae	SPECIES
93600	93600	Aporrhais pespelecani (Linnaeus, 1758)		Animalia	Mollusca	Gastropoda	Littorinimorpha	Aporrhaidae	SPECIES
93601	93601	Aptenia cordifolia (L.fil.) Schwant.	Mesembryanthemum cordifolium L.f.	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Aizoaceae	SPECIES
93602	93602	Arachis hypogaea L.		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	SPECIES
93603	93603	Araucaria heterophylla (Salisb.) Franco		Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	SPECIES
93604	93604	Araujia sericifera Brot.		Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	SPECIES
93605	93605	Arion vulgaris Moquin-Tandon, 1855		Animalia	Mollusca	Gastropoda	Stylommatophora	Arionidae	SPECIES
93606	93606	Armeria maritima Willd.		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Plumbaginaceae	SPECIES
93607	93607	Artemisia annua L.		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES
93608	93608	Artemisia verlotiorum Lamotte		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES
93609	93609	Artemisia vulgaris L.		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES
93610	93610	Articulina alticostata Cushman, 1944		Chromista	Foraminifera	Tubothalamea	Miliolida	Hauerinidae	SPECIES
93611	93611	Articulina mayori Cushman, 1922		Chromista	Foraminifera	Tubothalamea	Miliolida	Hauerinidae	SPECIES
93612	93612	Arundo donax L.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES
93613	93613	Asparagopsis armata Harv.		Plantae	Rhodophyta	Florideophyceae	Bonnemaisoniales	Bonnemaisoniaceae	SPECIES
93614	93614	Asparagopsis taxiformis (Delile) Trevis.		Plantae	Rhodophyta	Florideophyceae	Bonnemaisoniales	Bonnemaisoniaceae	SPECIES
93615	93615	Aspidosiphon elegans (Chamisso & Eysenhardt, 1821)		Animalia	Sipuncula	Phascolosomatidea	Aspidosiphoniformes	Aspidosiphonidae	SPECIES
93616	93616	Aspidosiphon mexicanus (Murina, 1967)		Animalia	Sipuncula	Phascolosomatidea	Aspidosiphoniformes	Aspidosiphonidae	SPECIES
93617	93617	Astacolus insolitus (Schwager, 1866)		Chromista	Foraminifera		Lagenida	Vaginulinidae	SPECIES
93618	93618	Astacolus sublegumen (Parr, 1950)	Vaginulinopsis sublegumen Parr, 1950	Chromista	Foraminifera		Lagenida	Vaginulinidae	SPECIES
93619	93619	Aster squamatus Hieron.		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES
93620	93620	Aster subulatus hort.	Symphyotrichum ericoides (L.) G.L.Nesom	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES
93621	93621	Asterias rubens Linnaeus, 1758		Animalia	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	SPECIES
93622	93622	Atergatis roseus (RÃ¼ppell, 1830)		Animalia	Arthropoda	Malacostraca	Decapoda	Xanthidae	SPECIES
93623	93623	Atherina boyeri Risso, 1810		Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinidae	SPECIES
93624	93624	Atherinomorus forskalii (RÃ¼ppell, 1838)		Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinidae	SPECIES
93625	93625	Atys angustatus E.A.Smith, 1872		Animalia	Mollusca	Gastropoda	Cephalaspidea	Haminoeidae	SPECIES
93626	93626	Aucuba japonica Thunb.		Plantae	Tracheophyta	Magnoliopsida	Garryales	Garryaceae	SPECIES
93627	93627	Azolla filiculoides Lam.		Plantae	Tracheophyta	Polypodiopsida	Salviniales	Salviniaceae	SPECIES
93628	93628	Balanus trigonus Darwin, 1854		Animalia	Arthropoda	Maxillopoda	Sessilia	Balanidae	SPECIES
93629	93629	Batocera rufomaculata (Degeer, 1775)		Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	SPECIES
