id	locationID	locality	occurrenceStatus	establishmentMeans	occurrenceRemarks
13170	Kenya|Tanzania	East Africa	Present	Alien	Reported
13171	Kenya|Tanzania	East Africa	Present	Alien	Reported
13172	Kenya|Tanzania	East Africa	Present	Alien	Established
13173	Kenya|Tanzania	East Africa	Present	Alien	Established
13174	Kenya|Tanzania	East Africa	Present	Alien	Established
13175	Kenya|Tanzania	East Africa	Present	Alien	Established
13176	Kenya|Tanzania	East Africa	Present	Alien	Reported
13177	Kenya|Tanzania	East Africa	Present	Alien	Established
13178	Kenya|Tanzania	East Africa	Present	Alien	Reported
13179	Kenya|Tanzania	East Africa	Present	Alien	Established
13180	Kenya|Tanzania	East Africa	Present	Alien	Reported
13181	Kenya|Tanzania	East Africa	Present	Alien	Reported
13182	Kenya|Tanzania	East Africa	Present	Alien	Reported
13183	Kenya|Tanzania	East Africa	Present	Alien	Reported
13184	Kenya|Tanzania	East Africa	Present	Alien	Reported
13185	Kenya|Tanzania	East Africa	Present	Alien	Reported
13186	Kenya|Tanzania	East Africa	Present	Alien	Reported
13187	Kenya|Tanzania	East Africa	Present	Alien	Reported
13188	Kenya|Tanzania	East Africa	Present	Alien	Reported
13189	Kenya|Tanzania	East Africa	Present	Alien	Reported
13190	Kenya|Tanzania	East Africa	Present	Alien	Established
13191	Kenya|Tanzania	East Africa	Present	Alien	Reported
13192	Kenya|Tanzania	East Africa	Present	Alien	Reported
13193	Kenya|Tanzania	East Africa	Present	Alien	Reported
13194	Kenya|Tanzania	East Africa	Present	Alien	Reported
13195	Kenya|Tanzania	East Africa	Present	Alien	Reported
13196	Kenya|Tanzania	East Africa	Present	Alien	Reported
13197	Kenya|Tanzania	East Africa	Present	Alien	Reported
13198	Kenya|Tanzania	East Africa	Present	Alien	Established
13199	Kenya|Tanzania	East Africa	Present	Alien	Reported
13200	Kenya|Tanzania	East Africa	Present	Alien	Established
13201	Kenya|Tanzania	East Africa	Present	Alien	Established
13202	Kenya|Tanzania	East Africa	Present	Alien	Established
13203	Kenya|Tanzania	East Africa	Present	Alien	Reported
13204	Kenya|Tanzania	East Africa	Present	Alien	Reported
13205	Kenya|Tanzania	East Africa	Present	Alien	Reported
13206	Kenya|Tanzania	East Africa	Present	Alien	Reported
13207	Kenya|Tanzania	East Africa	Present	Alien	Reported
13208	Kenya|Tanzania	East Africa	Present	Alien	Reported
13209	Kenya|Tanzania	East Africa	Present	Alien	Reported
13210	Kenya|Tanzania	East Africa	Present	Alien	Reported
13211	Kenya|Tanzania	East Africa	Present	Alien	Reported
13212	Kenya|Tanzania	East Africa	Present	Alien	Reported
13213	Kenya|Tanzania	East Africa	Present	Alien	Reported
13214	Kenya|Tanzania	East Africa	Present	Alien	Reported
13215	Kenya|Tanzania	East Africa	Present	Alien	Reported
13216	Kenya|Tanzania	East Africa	Present	Alien	Established
13217	Kenya|Tanzania	East Africa	Present	Alien	Reported
13218	Kenya|Tanzania	East Africa	Present	Alien	Established
13219	Kenya|Tanzania	East Africa	Present	Alien	Established
13220	Kenya|Tanzania	East Africa	Present	Alien	Established
13221	Kenya|Tanzania	East Africa	Present	Alien	Reported
13222	Kenya|Tanzania	East Africa	Present	Alien	Reported
13223	Kenya|Tanzania	East Africa	Present	Alien	Established
13224	Kenya|Tanzania	East Africa	Present	Alien	Established
13225	Kenya|Tanzania	East Africa	Present	Alien	Established
13226	Kenya|Tanzania	East Africa	Present	Alien	Reported
13227	Kenya|Tanzania	East Africa	Present	Alien	Established
13228	Kenya|Tanzania	East Africa	Present	Alien	Reported
13229	Kenya|Tanzania	East Africa	Present	Alien	Reported
13230	Kenya|Tanzania	East Africa	Present	Alien	Reported
13231	Kenya|Tanzania	East Africa	Present	Alien	Reported
13232	Kenya|Tanzania	East Africa	Present	Alien	Reported
13233	Kenya|Tanzania	East Africa	Present	Alien	Reported
13234	Kenya|Tanzania	East Africa	Present	Alien	Established
13235	Kenya|Tanzania	East Africa	Present	Alien	Reported
13236	Kenya|Tanzania	East Africa	Present	Alien	Reported
13237	Kenya|Tanzania	East Africa	Present	Alien	Established
13238	Kenya|Tanzania	East Africa	Present	Alien	Reported
13239	Kenya|Tanzania	East Africa	Present	Alien	Reported
13240	Kenya|Tanzania	East Africa	Present	Alien	Reported
13241	Kenya|Tanzania	East Africa	Present	Alien	Reported
13242	Kenya|Tanzania	East Africa	Present	Alien	Reported
13243	Kenya|Tanzania	East Africa	Present	Alien	Reported
13244	Kenya|Tanzania	East Africa	Present	Alien	Established
13245	Kenya|Tanzania	East Africa	Present	Alien	Established
13246	Kenya|Tanzania	East Africa	Present	Alien	Reported
13247	Kenya|Tanzania	East Africa	Present	Alien	Reported
13248	Kenya|Tanzania	East Africa	Present	Alien	Reported
13249	Kenya|Tanzania	East Africa	Present	Alien	Established
13250	Kenya|Tanzania	East Africa	Present	Alien	Reported
13251	Kenya|Tanzania	East Africa	Present	Alien	Reported
13252	Kenya|Tanzania	East Africa	Present	Alien	Reported
13253	Kenya|Tanzania	East Africa	Present	Alien	Established
13254	Kenya|Tanzania	East Africa	Present	Alien	Reported
13255	Kenya|Tanzania	East Africa	Present	Alien	Established
13256	Kenya|Tanzania	East Africa	Present	Alien	Reported
13257	Kenya|Tanzania	East Africa	Present	Alien	Reported
13258	Kenya|Tanzania	East Africa	Present	Alien	Reported
13259	Kenya|Tanzania	East Africa	Present	Alien	Established
13260	Kenya|Tanzania	East Africa	Present	Alien	Reported
13261	Kenya|Tanzania	East Africa	Present	Alien	Reported
13262	Kenya|Tanzania	East Africa	Present	Alien	Established
