id	locationID	locality	countryCode	occurrenceStatus	establishmentMeans
181010	France	Reunion	FR-RE	Present	Alien
181011	France	Reunion	FR-RE	Present	Alien
181012	France	Reunion	FR-RE	Present	Alien
181013	France	Reunion	FR-RE	Present	Alien
181014	France	Reunion	FR-RE	Present	Alien
181015	France	Reunion	FR-RE	Present	Alien
181016	France	Reunion	FR-RE	Present	Alien
181017	France	Reunion	FR-RE	Present	Alien
181018	France	Reunion	FR-RE	Present	Alien
181019	France	Reunion	FR-RE	Present	Alien
181020	France	Reunion	FR-RE	Present	Alien
181021	France	Reunion	FR-RE	Present	Alien
181022	France	Reunion	FR-RE	Present	Alien
181023	France	Reunion	FR-RE	Present	Alien
181024	France	Reunion	FR-RE	Present	Alien
181025	France	Reunion	FR-RE	Present	Alien
181026	France	Reunion	FR-RE	Present	Alien
181027	France	Reunion	FR-RE	Present	Alien
181028	France	Reunion	FR-RE	Present	Alien
181029	France	Reunion	FR-RE	Present	Alien
181030	France	Reunion	FR-RE	Present	Alien
181031	France	Reunion	FR-RE	Present	Alien
181032	France	Reunion	FR-RE	Present	Alien
181033	France	Reunion	FR-RE	Present	Alien
181034	France	Reunion	FR-RE	Present	Alien
181035	France	Reunion	FR-RE	Present	Alien
181036	France	Reunion	FR-RE	Present	Alien
181037	France	Reunion	FR-RE	Present	Alien
181038	France	Reunion	FR-RE	Present	Alien
181039	France	Reunion	FR-RE	Present	Alien
