id	locationID	countryCode	occurrenceStatus	establishmentMeans	eventDate
16145	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16146	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16147	Tonga	TO	Present	Alien	2022
16149	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16150	Tonga	TO	Present	Alien	2022
16151	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16152	Tonga	TO	Present	Alien	2022
16153	Tonga	TO	Present	Alien	2022
16154	Tonga	TO	Present	Alien	2022
16155	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16156	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16157	Tonga	TO	Present	Alien	2022
16158	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16159	Tonga	TO	Present	Alien	2022
16160	Tonga	TO	Present	Alien	2022
16161	Tonga	TO	Present	Alien	2022
16162	Tonga	TO	Present	Alien	2022
16163	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16164	Tonga	TO	Present	Alien	2022
16165	Tonga	TO	Present	Alien	2022
16166	Tonga	TO	Present	Alien	2022
16167	Tonga	TO	Present	Alien	2022
16168	Tonga	TO	Present	Alien	2022
16169	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16170	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16171	Tonga	TO	Present	Alien	2022
16172	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16173	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16174	Tonga	TO	Present	Alien	2022
16175	Tonga	TO	Present	Alien	2022
16176	Tonga	TO	Present	Alien	2022
16177	Tonga	TO	Present	Alien	2022
16178	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16179	Tonga	TO	Present	Alien	2022
16180	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16181	Tonga	TO	Present	Alien	2022
16182	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16183	Tonga	TO	Present	Alien	2022
16184	Tonga	TO	Present	Alien	2022
16185	Tonga	TO	Present	Alien	2022
16186	Tonga	TO	Present	Alien	2022
16187	Tonga	TO	Present	Alien	2022
16188	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16189	Tonga	TO	Present	Alien	2022
16190	Tonga	TO	Present	Alien	2022
16191	Tonga	TO	Present	Alien	2022
16192	Tonga	TO	Present	Alien	2022
16193	Tonga	TO	Present	Alien	2022
16194	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16195	Tonga	TO	Present	Alien	2022
16196	Tonga	TO	Present	Alien	2022
16197	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16198	Tonga	TO	Present	Alien	2022
16199	Tonga	TO	Present	Alien	2022
16200	Tonga	TO	Present	Alien	2022
16201	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16202	Tonga	TO	Present	Alien	2022
16203	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16204	Tonga	TO	Present	Alien	2022
16205	Tonga	TO	Present	Alien	2022
16206	Tonga	TO	Present	Alien	2022
16207	Tonga	TO	Present	Alien	2022
16208	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16209	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16210	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16211	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16212	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16213	Tonga	TO	Present	Alien	2022
16214	Tonga	TO	Present	Alien	2022
16215	Tonga	TO	Present	Alien	2022
16216	Tonga	TO	Present	Alien	2022
16217	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16218	Tonga	TO	Present	Alien	2022
16219	Tonga	TO	Present	Alien	2022
16220	Tonga	TO	Present	Alien	2022
16221	Tonga	TO	Present	Alien	2022
16222	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16223	Tonga	TO	Present	Alien	2022
16224	Tonga	TO	Present	Alien	2022
16225	Tonga	TO	Present	Alien	2022
16226	Tonga	TO	Present	Alien	2022
16227	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16228	Tonga	TO	Present	Alien	2022
16229	Tonga	TO	Present	Alien	2022
16230	Tonga	TO	Present	Alien	2022
16231	Tonga	TO	Present	Alien	2022
16232	Tonga	TO	Present	Alien	2022
16233	Tonga	TO	Present	Alien	2022
16234	Tonga	TO	Present	Alien	2022
16235	Tonga	TO	Present	Alien	2022
16236	Tonga	TO	Present	Alien	2022
16237	Tonga	TO	Present	Alien	2022
16238	Tonga	TO	Present	Alien	2022
16239	Tonga	TO	Present	Alien	2022
16240	Tonga	TO	Present	Alien	2022
16241	Tonga	TO	Present	Alien	2022
16242	Tonga	TO	Present	Alien	2022
16243	Tonga	TO	Present	Alien	2022
16244	Tonga	TO	Present	Alien	2022
16245	Tonga	TO	Present	Alien	2022
16246	Tonga	TO	Present	Alien	2022
16247	Tonga	TO	Present	Alien	2022
16248	Tonga	TO	Present	Alien	2022
16249	Tonga	TO	Present	Alien	2022
16250	Tonga	TO	Present	Alien	2022
16251	Tonga	TO	Present	Alien	2022
16252	Tonga	TO	Present	Alien	2022
16253	Tonga	TO	Present	Alien	2022
16254	Tonga	TO	Present	Alien	2022
16255	Tonga	TO	Present	Alien	2022
16256	Tonga	TO	Present	Alien	2022
16257	Tonga	TO	Present	Alien	2022
16258	Tonga	TO	Present	Alien	2022
16259	Tonga	TO	Present	Alien	2022
16260	Tonga	TO	Present	Alien	2022
16261	Tonga	TO	Present	Alien	2022
16262	Tonga	TO	Present	Alien	2022
16263	Tonga	TO	Present	Alien	2022
16264	Tonga	TO	Present	Alien	2022
16265	Tonga	TO	Present	Alien	2022
16266	Tonga	TO	Present	Alien	2022
16267	Tonga	TO	Present	Alien	2022
16268	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16269	Tonga	TO	Present	Alien	2022
16270	Tonga	TO	Present	Alien	2022
16271	Tonga	TO	Present	Alien	2022
16272	Tonga	TO	Present	Alien	2022
16273	Tonga	TO	Present	Alien	2022
16274	Tonga	TO	Present	Alien	2022
16275	Tonga	TO	Present	Alien	2022
16276	Tonga	TO	Present	Alien	2022
16277	Tonga	TO	Present	Alien	2022
16278	Tonga	TO	Present	Alien	2022
16279	Tonga	TO	Present	Alien	2022
16280	Tonga	TO	Present	Alien	2022
16281	Tonga	TO	Present	Alien	2022
16282	Tonga	TO	Present	Alien	2022
16283	Tonga	TO	Present	Alien	2022
16284	Tonga	TO	Present	Alien	2022
16285	Tonga	TO	Present	Alien	2022
16286	Tonga	TO	Present	Alien	2022
16287	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16288	Tonga	TO	Present	Alien	2022
16289	Tonga	TO	Present	Alien	2022
16290	Tonga	TO	Present	Alien	2022
16291	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16292	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16293	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16294	Tonga	TO	Present	Alien	2022
16295	Tonga	TO	Present	Alien	2022
16296	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16297	Tonga	TO	Present	Alien	2022
16298	Tonga	TO	Present	Alien	2022
16299	Tonga	TO	Present	Alien	2022
16300	Tonga	TO	Present	Alien	2022
16301	Tonga	TO	Present	Alien	2022
16302	Tonga	TO	Present	Alien	2022
16303	Tonga	TO	Present	Alien	2022
16304	Tonga	TO	Present	Alien	2022
16305	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16306	Tonga	TO	Present	Alien	2022
16307	Tonga	TO	Present	Alien	2022
16308	Tonga	TO	Present	Alien	2022
16309	Tonga	TO	Present	Alien	2022
16310	Tonga	TO	Present	Alien	2022
16311	Tonga	TO	Present	Alien	2022
16312	Tonga	TO	Present	Alien	2022
16313	Tonga	TO	Present	Alien	2022
16314	Tonga	TO	Present	Alien	2022
16315	Tonga	TO	Present	Alien	2022
16316	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16317	Tonga	TO	Present	Alien	2022
16318	Tonga	TO	Present	Alien	2022
16319	Tonga	TO	Present	Alien	2022
16320	Tonga	TO	Present	Alien	2022
16321	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16322	Tonga	TO	Present	Alien	2022
16323	Tonga	TO	Present	Alien	2022
16324	Tonga	TO	Present	Alien	2022
16325	Tonga	TO	Present	Alien	2022
