id	taxonID	scientificName	acceptedNameUsage	kingdom	phylum	class	order	family	taxonRank	taxonomicStatus	modified
10075	10075	Acrotona pseudotenera (Cameron, 1933)		Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	SPECIES	ACCEPTED	2023
10076	10076	Acrotona pseudotenera (Cameron, 1933)		Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	SPECIES	ACCEPTED	2023
10077	10077	Acrotona pseudotenera (Cameron, 1933)		Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	SPECIES	ACCEPTED	2023
10078	10078	Acrotrichis cognata (A.Matthews, 1877)		Animalia	Arthropoda	Insecta	Coleoptera	Ptiliidae	SPECIES	ACCEPTED	2023
10079	10079	Acrotrichis cognata (A.Matthews, 1877)		Animalia	Arthropoda	Insecta	Coleoptera	Ptiliidae	SPECIES	ACCEPTED	2023
10080	10080	Acrotrichis henrici (A.Matthews, 1872)		Animalia	Arthropoda	Insecta	Coleoptera	Ptiliidae	SPECIES	ACCEPTED	2023
10081	10081	Acrotrichis henrici (A.Matthews, 1872)		Animalia	Arthropoda	Insecta	Coleoptera	Ptiliidae	SPECIES	ACCEPTED	2023
10082	10082	Acrotrichis insularis (Mäklin, 1852)		Animalia	Arthropoda	Insecta	Coleoptera	Ptiliidae	SPECIES	ACCEPTED	2023
10083	10083	Acrotrichis insularis (Mäklin, 1852)		Animalia	Arthropoda	Insecta	Coleoptera	Ptiliidae	SPECIES	ACCEPTED	2023
10084	10084	Acrotrichis insularis (Mäklin, 1852)		Animalia	Arthropoda	Insecta	Coleoptera	Ptiliidae	SPECIES	ACCEPTED	2023
10085	10085	Acrotrichis sanctaehelenae Johnson, 1972		Animalia	Arthropoda	Insecta	Coleoptera	Ptiliidae	SPECIES	ACCEPTED	2023
10086	10086	Acrotrichis sanctaehelenae Johnson, 1972		Animalia	Arthropoda	Insecta	Coleoptera	Ptiliidae	SPECIES	ACCEPTED	2023
10087	10087	Acrotrichis sanctaehelenae Johnson, 1972		Animalia	Arthropoda	Insecta	Coleoptera	Ptiliidae	SPECIES	ACCEPTED	2023
10088	10088	Actaea rubra (Aiton) Willd.		Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	SPECIES	ACCEPTED	2023
10089	10089	Acyrthosiphon caraganae (Cholodkovsky, 1908)		Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	SPECIES	ACCEPTED	2023
10090	10090	Acyrthosiphon caraganae (Cholodkovsky, 1908)		Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	SPECIES	ACCEPTED	2023
10091	10091	Adistemia watsoni (Wollaston, 1871)		Animalia	Arthropoda	Insecta	Coleoptera	Latridiidae	SPECIES	ACCEPTED	2023
10092	10092	Adistemia watsoni (Wollaston, 1871)		Animalia	Arthropoda	Insecta	Coleoptera	Latridiidae	SPECIES	ACCEPTED	2023
10093	10093	Adistemia watsoni (Wollaston, 1871)		Animalia	Arthropoda	Insecta	Coleoptera	Latridiidae	SPECIES	ACCEPTED	2023
10094	10094	Aedes aegypti (Linnaeus, 1762)		Animalia	Arthropoda	Insecta	Diptera	Culicidae	SPECIES	ACCEPTED	2023
10095	10095	Aedes aegypti (Linnaeus, 1762)		Animalia	Arthropoda	Insecta	Diptera	Culicidae	SPECIES	ACCEPTED	2023
10096	10096	Aedes albopictus (Skuse, 1894)		Animalia	Arthropoda	Insecta	Diptera	Culicidae	SPECIES	ACCEPTED	2023
10097	10097	Aedes albopictus (Skuse, 1894)		Animalia	Arthropoda	Insecta	Diptera	Culicidae	SPECIES	ACCEPTED	2023
10098	10098	Aedes albopictus (Skuse, 1894)		Animalia	Arthropoda	Insecta	Diptera	Culicidae	SPECIES	ACCEPTED	2023
10099	10099	Aedes atropalpus (Coquillett, 1902)		Animalia	Arthropoda	Insecta	Diptera	Culicidae	SPECIES	ACCEPTED	2023
10100	10100	Aedes japonicus (Theobald, 1901)		Animalia	Arthropoda	Insecta	Diptera	Culicidae	SPECIES	ACCEPTED	2023
10101	10101	Aedes japonicus (Theobald, 1901)		Animalia	Arthropoda	Insecta	Diptera	Culicidae	SPECIES	ACCEPTED	2023
10102	10102	Aedes koreicus (Edwards, 1917)		Animalia	Arthropoda	Insecta	Diptera	Culicidae	SPECIES	ACCEPTED	2023
10103	10103	Aedes triceriatus (Say, 1823)		Animalia	Arthropoda	Insecta	Diptera	Culicidae	SPECIES	ACCEPTED	2023
10104	10104	Aesculus hippocastanum L.		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	SPECIES	ACCEPTED	2023
10105	10105	Agardhiella subulata (C.Agardh) Kraft & M.J.Wynne		Plantae	Rhodophyta	Florideophyceae	Gigartinales	Solieriaceae	SPECIES	ACCEPTED	2023
10106	10106	Agardhiella subulata (C.Agardh) Kraft & M.J.Wynne		Plantae	Rhodophyta	Florideophyceae	Gigartinales	Solieriaceae	SPECIES	ACCEPTED	2023
10107	10107	Agardhiella subulata (C.Agardh) Kraft & M.J.Wynne		Plantae	Rhodophyta	Florideophyceae	Gigartinales	Solieriaceae	SPECIES	ACCEPTED	2023
10108	10108	Agardhiella subulata (C.Agardh) Kraft & M.J.Wynne		Plantae	Rhodophyta	Florideophyceae	Gigartinales	Solieriaceae	SPECIES	ACCEPTED	2023
10109	10109	Agaricus bisporus (J.E.Lange) Imbach		Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	SPECIES	ACCEPTED	2023
10110	10110	Agaricus bisporus (J.E.Lange) Imbach		Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	SPECIES	ACCEPTED	2023
10111	10111	Agaricus bitorquis (Quél.) Sacc.		Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	SPECIES	ACCEPTED	2023
10112	10112	Agaricus bitorquis (Quél.) Sacc.		Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	SPECIES	ACCEPTED	2023
10113	10113	Agaricus bitorquis (Quél.) Sacc.		Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	SPECIES	ACCEPTED	2023
10114	10114	Agaricus bitorquis (Quél.) Sacc.		Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	SPECIES	ACCEPTED	2023
10115	10115	Agaricus subperonatus (J.E.Lange) Singer		Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	SPECIES	ACCEPTED	2023
10116	10116	Agaricus xanthodermus Genev.		Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	SPECIES	ACCEPTED	2023
10117	10117	Agaricus xanthodermus Genev.		Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	SPECIES	ACCEPTED	2023
10118	10118	Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq	Gracilaria vermiculophylla (Ohmi) Papenfuss	Plantae	Rhodophyta	Florideophyceae	Gracilariales	Gracilariaceae	SPECIES	SYNONYM	2023
10119	10119	Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq	Gracilaria vermiculophylla (Ohmi) Papenfuss	Plantae	Rhodophyta	Florideophyceae	Gracilariales	Gracilariaceae	SPECIES	SYNONYM	2023
10120	10120	Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq	Gracilaria vermiculophylla (Ohmi) Papenfuss	Plantae	Rhodophyta	Florideophyceae	Gracilariales	Gracilariaceae	SPECIES	SYNONYM	2023
10121	10121	Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq	Gracilaria vermiculophylla (Ohmi) Papenfuss	Plantae	Rhodophyta	Florideophyceae	Gracilariales	Gracilariaceae	SPECIES	SYNONYM	2023
10122	10122	Agastache rugosa (Fisch. & C.A.Mey.) Kuntze		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	SPECIES	ACCEPTED	2023
10123	10123	Agastache urticifolia (Benth.) Kuntze		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	SPECIES	ACCEPTED	2023
10124	10124	Aglaothamnion halliae (F.S.Collins) N.E.Aponte, D.L.Ballantine & J.N.Norris		Plantae	Rhodophyta	Florideophyceae	Ceramiales	Callithamniaceae	SPECIES	ACCEPTED	2023
10125	10125	Aglaothamnion halliae (F.S.Collins) N.E.Aponte, D.L.Ballantine & J.N.Norris		Plantae	Rhodophyta	Florideophyceae	Ceramiales	Callithamniaceae	SPECIES	ACCEPTED	2023
10126	10126	Aglaothamnion halliae (F.S.Collins) N.E.Aponte, D.L.Ballantine & J.N.Norris		Plantae	Rhodophyta	Florideophyceae	Ceramiales	Callithamniaceae	SPECIES	ACCEPTED	2023
10127	10127	Agrilus anxius Gory, 1841		Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	SPECIES	ACCEPTED	2023
10128	10128	Agrilus anxius Gory, 1841		Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	SPECIES	ACCEPTED	2023
10129	10129	Agrilus anxius Gory, 1841		Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	SPECIES	ACCEPTED	2023
10130	10130	Agrilus planipennis Fairmaire, 1888		Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	SPECIES	ACCEPTED	2023
10131	10131	Agrilus planipennis Fairmaire, 1888		Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	SPECIES	ACCEPTED	2023
10132	10132	Agrilus planipennis Fairmaire, 1888		Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	SPECIES	ACCEPTED	2023
10133	10133	Agrilus sinuatus (Olivier, 1790)		Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	SPECIES	ACCEPTED	2023
10134	10134	Agrilus sinuatus (Olivier, 1790)		Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	SPECIES	ACCEPTED	2023
10135	10135	Agrilus sinuatus (Olivier, 1790)		Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	SPECIES	ACCEPTED	2023
10136	10136	Agrilus sinuatus (Olivier, 1790)		Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	SPECIES	ACCEPTED	2023
10137	10137	Agrilus sinuatus (Olivier, 1790)		Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	SPECIES	ACCEPTED	2023
10138	10138	Agrocybe rivulosa Nauta		Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	SPECIES	ACCEPTED	2023
10139	10139	Agropyron cristatum (L.) Gaertn.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	ACCEPTED	2023
10140	10140	Agrostemma githago L.		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	SPECIES	ACCEPTED	2023
10141	10141	Agrostemma githago L.		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	SPECIES	ACCEPTED	2023
10142	10142	Agrostis scabra Willd.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	ACCEPTED	2023
10143	10143	Agrostis scabra Willd.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	ACCEPTED	2023
10144	10144	Ahasverus advena (Walt, 1832)		Animalia	Arthropoda	Insecta	Coleoptera	Silvanidae	SPECIES	ACCEPTED	2023
10145	10145	Ahasverus advena (Walt, 1832)		Animalia	Arthropoda	Insecta	Coleoptera	Silvanidae	SPECIES	ACCEPTED	2023
10146	10146	Ailanthus altissima (Mill.) Swingle		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Simaroubaceae	SPECIES	ACCEPTED	2023
10147	10147	Ailanthus altissima (Mill.) Swingle		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Simaroubaceae	SPECIES	ACCEPTED	2023
10148	10148	Aix galericulata (Linnaeus, 1758)		Animalia	Chordata	Aves	Anseriformes	Anatidae	SPECIES	ACCEPTED	2023
10149	10149	Aix galericulata (Linnaeus, 1758)		Animalia	Chordata	Aves	Anseriformes	Anatidae	SPECIES	ACCEPTED	2023
10150	10150	Aix galericulata (Linnaeus, 1758)		Animalia	Chordata	Aves	Anseriformes	Anatidae	SPECIES	ACCEPTED	2023
10151	10151	Aix sponsa (Linnaeus, 1758)		Animalia	Chordata	Aves	Anseriformes	Anatidae	SPECIES	ACCEPTED	2023
10152	10152	Aix sponsa (Linnaeus, 1758)		Animalia	Chordata	Aves	Anseriformes	Anatidae	SPECIES	ACCEPTED	2023
10153	10153	Aix sponsa (Linnaeus, 1758)		Animalia	Chordata	Aves	Anseriformes	Anatidae	SPECIES	ACCEPTED	2023
10154	10154	Ajuga genevensis L.		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	SPECIES	ACCEPTED	2023
10155	10155	Ajuga genevensis L.		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	SPECIES	ACCEPTED	2023
10156	10156	Ajuga genevensis L.		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	SPECIES	ACCEPTED	2023
10157	10157	Akebia quinata (Houtt.) Decne.		Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Lardizabalaceae	SPECIES	ACCEPTED	2023
10158	10158	Akebia quinata (Houtt.) Decne.		Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Lardizabalaceae	SPECIES	ACCEPTED	2023
10159	10159	Alcea rosea L.		Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	SPECIES	ACCEPTED	2023
10160	10160	Alchemilla heptagona Juz.		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	SPECIES	ACCEPTED	2023
10161	10161	Alchemilla mollis (Buser) Rothm.		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	SPECIES	ACCEPTED	2023
10162	10162	Alchemilla sarmatica Juz.		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	SPECIES	ACCEPTED	2023
10163	10163	Alchemilla semilunaris Alechin		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	SPECIES	ACCEPTED	2023
10164	10164	Alchemilla speciosa Buser		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	SPECIES	ACCEPTED	2023
10165	10165	Alectoris chukar (J.E.Gray, 1830)		Animalia	Chordata	Aves	Galliformes	Phasianidae	SPECIES	ACCEPTED	2023
10166	10166	Alectoris chukar (J.E.Gray, 1830)		Animalia	Chordata	Aves	Galliformes	Phasianidae	SPECIES	ACCEPTED	2023
10167	10167	Alectoris chukar (J.E.Gray, 1830)		Animalia	Chordata	Aves	Galliformes	Phasianidae	SPECIES	ACCEPTED	2023
10168	10168	Alectoris chukar (J.E.Gray, 1830)		Animalia	Chordata	Aves	Galliformes	Phasianidae	SPECIES	ACCEPTED	2023
